intent_type,nutritionist_prompt
request_meal_analysis,"Can you analyze this meal: ""For my snack, I'm having one chicken finger, a potato home fry, and a small order of popcorn loaded with butter."" with 56.38g carbs, 81.17g fat, 9.97g protein, and 970.52 kcal, and suggest whether it aligns with general dietary guidelines?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""For breakfast, I'm having a small cappuccino, a raw banana, and a medium pan dulce with no topping."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I'm grabbing a snack with a can of decaffeinated pepper soft drink and a can of regular pepper soft drink."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""For breakfast, I'm having a medium burrito with egg and a cup of milk."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_macro_balance,"Review this meal: ""At breakfast, I enjoyed 20 grams of jelly, some cooked bacon (6.5 grams), a fried egg (55 grams), and 480 grams of brewed coffee."". Can you identify if the macronutrient distribution is balanced or skewed?"
request_macro_balance,"Review this meal: ""For dinner, I prepared 115.3g of dry maize flour, mixed in 42.1g of full-cream milk powder, and added 13.2g of vegetable oil."". Can you identify if the macronutrient distribution is balanced or skewed?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""I'm enjoying a regular churro as a snack."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I enjoyed a 42-gram graham cracker cookie with chocolate and marshmallow along with 240 grams of tap water for a quick snack."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
query_protein_support,The protein in this meal is 6.890000000000001g. Is that adequate for a moderately active adult aiming to maintain lean mass?
request_macro_balance,"Review this meal: ""For my snack, I had 10 grams of granulated sugar, 30 grams of lowfat milk, and a 22g cereal bar made from rice and wheat."". Can you identify if the macronutrient distribution is balanced or skewed?"
query_energy_appropriateness,This meal has 385.50000000000006 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
query_energy_appropriateness,This meal has 406.69 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
request_meal_analysis,"Can you analyze this meal: ""I'm enjoying a cup of shredded cheddar cheese this morning."" with 2.76g carbs, 38.42g fat, 26.33g protein, and 461.04 kcal, and suggest whether it aligns with general dietary guidelines?"
suggest_meal_plan,"I'm working with a patient who regularly eats meals like: ""Lunch today is a sandwich made with whole wheat bread, peanut butter, and reduced sugar jelly, along with a 16.9 fl oz bottle of water."". Can you suggest a 1-day culturally relevant meal plan with better nutrient balance?"
request_macro_balance,"Review this meal: ""I’ve got a breakfast setup with 244 grams of reduced fat milk and a 126-gram sausage on a biscuit."". Can you identify if the macronutrient distribution is balanced or skewed?"
query_energy_appropriateness,This meal has 83.0 kcal. Is that appropriate for a sedentary adult aiming for gradual weight loss?
request_macro_balance,"Review this meal: ""For a snack, I'm having 10 grams of candied custard and 10.1 grams of salted popcorn."". Can you identify if the macronutrient distribution is balanced or skewed?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""I'm enjoying a 16.9 fl oz can of iced black tea, and it's decaffeinated, for my snack."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
plan_low_glycemic_alternative,This high-carb meal may spike glucose levels. Can you propose a lower glycemic index alternative with similar ingredients?
query_protein_support,The protein in this meal is 18.58g. Is that adequate for a moderately active adult aiming to maintain lean mass?
assist_behavior_change,"I'm trying to help a patient shift from meals like this: ""I’m having 70 grams of chocolate cake, 9.9 grams of cheap snack food, and a 240g serving of Coca-Cola for dinner."" to healthier options. Can you suggest a gradual behavior modification strategy?"
flag_risk_for_condition,"Given this nutrient profile (48.38g carbs, 18.74g fat), should I be concerned about diabetes or heart risk based on dietary trends like this?"
query_protein_support,The protein in this meal is 15.02g. Is that adequate for a moderately active adult aiming to maintain lean mass?
recommend_adjustment,This meal contains 308.28 kcal and 44.14g of carbs. What adjustments would you recommend for someone aiming for weight control?
request_meal_analysis,"Can you analyze this meal: ""I’m starting my day with a medium cinnamon bun and an individual school container of orange juice."" with 57.71g carbs, 24.1g fat, 4.84g protein, and 465.08 kcal, and suggest whether it aligns with general dietary guidelines?"
ask_for_cultural_alternatives,"The patient is from USA and frequently eats this: ""For breakfast, I'm having an individual carton of 100% orange juice along with a sandwich that has an egg, cheese, and sausage griddle cake."". Can you suggest healthier traditional alternatives that maintain cultural integrity?"
recommend_adjustment,This meal contains 407.0 kcal and 24.2g of carbs. What adjustments would you recommend for someone aiming for weight control?
request_meal_analysis,"Can you analyze this meal: ""For my dinner, I have 145 grams of shrimp that I steamed, paired with 372 grams of a caffeine-free fruity soft drink."" with 39.4g carbs, 1.94g fat, 25.380000000000003g protein, and 280.75 kcal, and suggest whether it aligns with general dietary guidelines?"
request_macro_balance,"Review this meal: ""I enjoyed a dinner that included 96.3g of raw sukuma wiki, 136.9g of whole fresh milk, and 6.7g of fresh red onion. I seasoned it with 1.3g of iodized salt, added 36.5g of ripe tomato, 8.2g of vegetable oil, and had 460g of ugali on the side."". Can you identify if the macronutrient distribution is balanced or skewed?"
