intent_type,user_prompt
nutrition evaluation,"I had this meal: I’ve got a dinner of a 102-gram hot dog sandwich, 8 grams of cooked bacon, and 507 grams of bottled water. with 26.89g carbs and 336.3 kcal. Is this nutritionally balanced?"
carb control,"My recent meal had 56.08g of carbs. For dinner, I'm having 260 grams of baked beans.. Is this okay for a low-carb diet?"
weight loss planning,"I’m on a weight loss plan. This meal had 214.0 kcal and 8.5g fat: For lunch, I'm having 115.8 grams of bread with ham.. Is this suitable?"
meal improvement,My meal today was: I have a snack of 57 grams of barbecue chips along with a 75-gram vanilla ice cream sandwich.. How can I make this healthier?
carb control,"My recent meal had 2.3600000000000003g of carbs. For a snack, I'm having a medium cup of brewed coffee with a container of sugar-free flavored coffee creamer and a packet of stevia.. Is this okay for a low-carb diet?"
diabetes-friendly meal,I'm diabetic. I had this meal: I'm having a vanilla ice cream bar for a snack. with 27.84g carbs. Was this a safe choice?
protein adequacy,"My meal had 4.08g protein. For lunch, I'm having 360 grams of bottled unsweetened water and 52 grams of wheat chappatti.. Is this enough for recovery after a workout?"
fat intake concern,"I had this today: I’ve got a snack that includes a 100g bread roll, 4g of apple-flavored food, 10g of milk powder, and 7.5g of sugar., which contains 5.45g fat. Should I cut down on fat?"
meal improvement,My meal today was: Lunch included 117g of rice with vegetables and a 51g Silk banana.. How can I make this healthier?
nutrition evaluation,"I had this meal: For a snack, I’ve got a 30g cookie made with coconut. with 18.37g carbs and 138.0 kcal. Is this nutritionally balanced?"
cultural health advice,I often eat meals like this from USA: I'm enjoying a medium baked potato with cheese on it for lunch.. Are these good for daily health?
carb control,My recent meal had 118.22g of carbs. I drank 372 grams of decaffeinated cola and had 152 grams of French bread for breakfast.. Is this okay for a low-carb diet?
nutrition evaluation,I had this meal: I got a fast food meatless burrito with beans that weighs 198 grams for lunch. with 61.84g carbs and 405.9 kcal. Is this nutritionally balanced?
meal improvement,"My meal today was: This morning, I ate 107g of glutinous rice wrapped in coconut leaf along with 4g of white refined sugar.. How can I make this healthier?"
meal improvement,"My meal today was: For a snack, I had 41.2g of sweet plain biscuits with 18.9g of brown sugar. I also had 30.4g of wheat grain, 2g of jelly candies, 162.7g of mandarins, 330.0g of peach nectar, 29.0g of sandwich bread, 111.5g of table grapes, 871.7g of unbottled water, and 380.0g of semi-skimmed yoghurt drinks.. How can I make this healthier?"
meal improvement,"My meal today was: For breakfast, I have a medium burrito loaded with meat.. How can I make this healthier?"
carb control,"My recent meal had 27.8g of carbs. For dinner, I am having 20g of boiled black eyed peas, 9g of cotton seed oil, 1g of salt, 1g of liquid potassium salt, and 21g of boiled sorghum grain without the husks.. Is this okay for a low-carb diet?"
diabetes-friendly meal,"I'm diabetic. I had this meal: I'm having a snack that includes a medium bag of reduced fat cheese corn snacks, a large caffeine-free soft drink, and a Kit Kat bar. with 144.45000000000002g carbs. Was this a safe choice?"
energy balance,This meal gave me 0.0 kcal: I’m enjoying a 12 fl oz can of diet root beer as a snack.. Is this too much for one meal?
meal improvement,"My meal today was: Lunch today consists of a chicken fillet sandwich from the cafeteria, a 4.23 fl oz orange juice box, and a cup of fat-free milk.. How can I make this healthier?"
diabetes-friendly meal,"I'm diabetic. I had this meal: I had a breakfast consisting of 100g of coffee with milk, 50g of unspecified white bread, 25g of fruit jam, 10g of sugar, and 12g of cream. with 63.38g carbs. Was this a safe choice?"
