meal_description,carb,fat,energy,protein,country,serving_type
"For breakfast, I ate a plain bun weighing 126 grams and sprinkled on 27 grams of raw sugar.",90.8,4.2,439.0,9.6,ZMB,metric
"For lunch, I had 171 grams of boiled fresh groundnuts in their shells and 230 grams of boiled orange sweet potato without skin.",97.8,37.8,806.0,27.9,ZMB,metric
"I’ve got 9 grams of boiled kasepa fish, 34 grams of raw maize flour, 3 grams of onion, 9 grams of tomato, and 48 grams of fritters for breakfast.",51.2,14.2,363.0,8.7,ZMB,metric
"I had a breakfast consisting of 51g of raw white maize flour, 5g of boiled onion, and 19g of boiled tomato. I also drank 193g of fresh whole milk, ate a 71g orange, and had 133g of boiled orange sweet potato along with 265g of boiled yellow sweet potato.",163.8,8.9,792.0,19.0,ZMB,metric
"For dinner, I had 105g of raw maize flour along with a boiled large onion (1g), 5g of boiled pumpkin leaves, 5g of boiled ripe tomato, and 4g of boiled medium fat pork.",81.1,4.6,390.0,8.4,ZMB,metric
"For a snack, I had 48g of boiled white navy beans, 16g of boiled kidney beans, 16g of boiled groundnut powder, 115g of boiled white maize flour, 13g of boiled large onion, 26g of boiled sweet potato leaves, and 45g of boiled ripe tomato.",127.3,13.0,703.0,25.799999999999997,ZMB,metric
"For breakfast, I've got 30g of boiled cowpeas, 68g of maize flour, and 5g of onion. I'm also having 19g of tomato, 82g of banana, and 41g of roasted groundnuts.",99.0,23.7,664.0,22.7,ZMB,metric
"I enjoyed dinner with 19g of boiled okra leaves, 5g of boiled onion, 86g of sorghum flour, 17g of boiled tomato, along with 5g of roasted caterpillar and 83g of boiled goat and lamb offals.",68.50000000000001,12.2,478.0,29.9,ZMB,metric
"For lunch, I have 17g of fresh green cabbage, 116g of raw maize flour, 5g and 3g of boiled onion, 41g of boiled tomato, and 21g of boiled chicken wings.",95.3,5.7,495.0,13.9,ZMB,metric
"For a snack, I had 55 grams of boiled cranberry beans, 118 grams of raw white maize flour breakfast meal, 10 grams of boiled large onion, 34 grams of boiled ripe tomato, and 453 grams of boiled groundnuts.",225.3,102.6,2070.0,82.9,ZMB,metric
"So, my lunch includes 72g of maize flour, 17g of okra leaves, 5g of onion, 16g of tomato, and 85g of mango.",74.1,1.7000000000000002,336.0,6.6,ZMB,metric
